date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2020-04-06,66,16,,0.16,10.56
2020-04-07,70,16,,0.16,11.2
2020-04-08,60,16,,0.16,9.6
2020-04-09,57,16,,0.16,9.12
2020-04-10,62,16,,0.16,9.92
2020-04-11,58,16,,0.16,9.28
2020-04-12,56,16,,0.16,8.96
2020-04-13,62,16,,0.16,9.92
2020-04-14,57,16,,0.16,9.12
2020-04-15,55,16,,0.16,8.8
2020-04-16,62,16,,0.16,9.92
2020-04-17,57,16,,0.16,9.12
2020-04-18,56,16,,0.16,8.96
2020-04-19,55,16,,0.16,8.8
2020-04-20,55,16,,0.16,8.8
2020-04-21,56,16,,0.16,8.96
2020-04-22,54,16,,0.16,8.64
2020-04-23,63,16,,0.16,10.08
2020-04-24,64,16,,0.16,10.24
2020-04-25,60,16,,0.16,9.6
2020-04-26,59,16,,0.16,9.44
2020-04-27,60,16,,0.16,9.6
2020-04-28,60,16,,0.16,9.6
2020-04-29,91,16,,0.16,14.56
2020-04-30,100,16,,0.16,16
2020-05-01,52,20,FALSE,0.2,10.4
2020-05-02,51,20,,0.2,10.2
2020-05-03,52,20,,0.2,10.4
2020-05-04,50,20,,0.2,10
2020-05-05,49,20,,0.2,9.8
2020-05-06,55,20,,0.2,11
2020-05-07,68,20,,0.2,13.6
2020-05-08,71,20,,0.2,14.2
2020-05-09,64,20,,0.2,12.8
2020-05-10,82,20,,0.2,16.4
2020-05-11,100,20,,0.2,20
2020-05-12,68,20,,0.2,13.6
2020-05-13,61,20,,0.2,12.2
2020-05-14,64,20,,0.2,12.8
2020-05-15,53,20,,0.2,10.6
2020-05-16,49,20,,0.2,9.8
2020-05-17,51,20,,0.2,10.2
2020-05-18,50,20,,0.2,10
2020-05-19,46,20,,0.2,9.2
2020-05-20,47,20,,0.2,9.4
2020-05-21,48,20,,0.2,9.6
2020-05-22,45,20,,0.2,9
2020-05-23,40,20,,0.2,8
2020-05-24,43,20,,0.2,8.6
2020-05-25,47,20,,0.2,9.4
2020-05-26,43,20,,0.2,8.6
2020-05-27,43,20,,0.2,8.6
2020-05-28,43,20,,0.2,8.6
2020-05-29,39,20,,0.2,7.8
2020-05-30,36,20,,0.2,7.2
2020-05-31,38,20,,0.2,7.6
2020-06-01,71,14,FALSE,0.14,9.94
2020-06-02,100,14,,0.14,14
